question_order,question_answer_group_id,speaker,role,company,content,year,quarter
3,11,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"If you do all – you have to fix LCR, G-SIFI, CCAR, SLR, and I think would free up hundreds of billions of dollars for JPMorgan annually of various
types of lending to the system. Some would be markets, some would be middle market loans, et cetera. And I pointed out, if you wanted to look
at the big numbers, that loans to deposits are now 70% for the banking system writ large. That used to be 100%, and the reason for that isn't –
it's not just capital. It is also LCR, it is also G-SIFI, also – and the question you should ask because you are very smart, Mike, is could you have
the same – and I believe you have a safer system, lend more money, have more liquidity, eliminate bank runs, eliminate what happened to First
Republic and Silicon Valley, and you could accomplish all of that with completely rational and thoughtful regulations. That's what I would like to
see them do. I don't know what's going to happen. We're going to...",2025,1
4,11,Mike Mayo,Analyst,Well Fargo Securities LLC,One short...,2025,1
5,11,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"You can read our – I think our NPRs are public and stuff like that. And so they should do that. Just make a better system. Or you have the best in
the world. We've kind of started to cripple it slowly. If you don't – I'd say, you look at these rules and regulations. See Europe. If that's where we
want to go. Let's just go there.",2025,1
6,11,Mike Mayo,Analyst,Well Fargo Securities LLC,"One short follow-up. Just first quarter, you mentioned good credit, good trading, good EPS beat. I'm not sure anyone cares. They're worried
more about the things we're talking about here. But in terms of the risk of being an international company, an international U.S. company
during trade wars. And I know JPMorgan is a firm that likes to partner with countries as well as communities and customers. So how do you
think about that risk? How should we think about that risk? And hopefully, your voice is being heard to speed things along to whatever can be
done, getting it done because you could be in the crosshairs at some point.",2025,1
7,11,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. I honestly add that to the list of worries. We will be in the crosshairs. That's what's going to happen. And it's okay. We're deeply
embedded in these other countries, people like us. But I do think some clients or some countries will feel differently about American banks, and
we'll just have to deal with that.",2025,1
8,11,Mike Mayo,Analyst,Well Fargo Securities LLC,All right. Thank you.,2025,1
0,12,Glenn Schorr,Analyst,Evercore Group LLC,"Hi. Just one follow-up on this whole risk management/regulatory front. I see, I hear and I agree: flawed regulatory system, could be better.
We've had massive volatility. The market plumbing has held in okay so far and you and others have had borderline spectacular trading results.
So, has something changed? Are the systems better? Are they better able to handle your risk management, your people, the diversity of your
platform better? Or are there still environments where not all volatility is good? Just curious to get your big picture thoughts. Thanks.",2025,1
1,12,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"I mean, maybe I'll start with that one, Glenn. So, I guess, I think that your points aren't mutually exclusive. Meaning, I mean, we're always
continually improving the franchise. We've talked a lot about inward investment in all of our businesses, including Markets. And so we try to be
more complete and invest in technology and work more closely with our clients. So I'm sure we're kind of better at it than we were five years
ago, as I think probably everyone is at the margin. I'm not sure that you can associate that with the current performance. I think these just
happen to be very favorable conditions that we've managed very successfully.
And to your point, I think your specific question of like is there – are there still forms of volatility that can be bad for the Markets franchise? The
answer to that question is definitely yes. When you have gappy volatility with no trading volume, people paralyzed, clients unsure what to do,
active managers struggling, those environments are bad. So people make fun of the kind of good volatility, bad volatility story, but whether we
like it or not, it's real. And in the end, we just have to manage the risks and serve the clients. And as I said earlier, we're happy to see that...",2025,1
2,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Jeremy – I agree. Jeremy, I would add to that. Volatility leads to bigger bid-ask spreads, that, all things being equal, is better. And it leads
sometimes to higher volumes. So you've seen really high volumes in FX and interest rate swaps, a whole bunch of different things, treasuries.
That's better. But as Jeremy pointed out, sometimes that kind of volatility leads to very low volumes, like you see in DCM today when you don't
have these bond deals where you have less trading, when you have – so it will have lower volumes in certain markets and stuff like that. And
how it all filters through is almost impossible to tell. But our folks do a great job and we're here to help our clients. So we know that volumes can
go up or down and spreads can go up or down.
But the plumbing of the system, I would say the plumbing worked well during COVID too. I mean, it wasn't the plumbing that was a problem and
wasn't even a problem to go back to some of the real crises we've had, so – but you should always worry about that kind of thing, make sure it
stays true.",2025,1
3,12,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"And I do think that the fact that the revenue performance in this quarter is good shouldn't make us lose focus on the importance of the larger
fixes around financial resource deployment by regulated banks to supporting the capital markets ecosystem. Everything Jamie's been talking
about SLR, LCR, ILST, G-SIB, Basel III Endgame, RWA, the whole panoply of items, which interacts, as we've often talked about and is miss-
calibrated, it will, at the margin, make it harder for banks to serve a stabilizing function in a difficult moment. So that remains quite important as
a policy priority.",2025,1
4,12,Glenn Schorr,Analyst,Evercore Group LLC,That's a great point. Thanks for that. Appreciate it.,2025,1
5,12,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, Glenn.",2025,1
0,13,Saul Martinez,Analyst,Inc.,"Okay. Good morning. Thanks for taking my question. Most of my questions have been asked and answered, but I guess I'll ask about costs
since nobody has asked it. But I guess how should we think about the cost structure and any sort of cost optimization efforts, if you do see a
revenue slowdown, but not necessarily a severe downturn? I think you do have, in the $95 billion guidance, you do have a good amount of
growth penciled in for investing in bankers and branches and tech and marketing. And I guess, do you – does it make sense or under what
conditions would it make sense for you to maybe pull back on some of these investments? Or do you think that's just completely shortsighted
unless we see a real significant downturn in the economy.",2025,1
